a,b,c
0.0,1.0,0.0
0.07,0.93,0.0
0.108,0.892,0.0
0.107,0.85,0.044
0.07,0.93,0.0
0.0,0.95,0.05
0.0,0.922,0.078
0.129,0.771,0.099
0.0,0.871,0.129
0.369,0.631,0.0
0.108,0.892,0.0
0.0,0.771,0.229
0.141,0.729,0.13
0.241,0.679,0.079
0.127,0.749,0.124
0.0,0.905,0.095
0.108,0.892,0.0
0.0,0.884,0.116
0.0,0.838,0.162
0.244,0.756,0.0
0.0,0.774,0.226
0.061,0.864,0.075
0.144,0.856,0.0
0.072,0.928,0.0
0.085,0.761,0.154
0.0,0.757,0.243
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.108,0.892,0.0
0.046,0.954,0.0
0.056,0.814,0.13
0.192,0.808,0.0
0.0,0.757,0.243
0.565,0.435,0.0
0.0,0.834,0.166
0.0,1.0,0.0
0.0,0.918,0.082
0.0,1.0,0.0
0.212,0.743,0.045
0.233,0.692,0.075
0.114,0.886,0.0
0.252,0.748,0.0
0.0,0.905,0.095
0.0,0.902,0.098
0.034,0.863,0.102
0.192,0.808,0.0
0.0,0.317,0.683
0.108,0.801,0.091
0.0,0.912,0.088
0.0,0.884,0.116
0.307,0.693,0.0
0.0,0.688,0.312
0.321,0.679,0.0
0.046,0.954,0.0
0.07,0.93,0.0
0.056,0.906,0.039
0.211,0.789,0.0
0.0,0.694,0.306
0.11,0.89,0.0
0.0,0.771,0.229
0.04,0.935,0.026
0.046,0.954,0.0
0.046,0.954,0.0
0.0,0.833,0.167
0.153,0.777,0.07
0.0,0.923,0.077
0.141,0.729,0.13
0.073,0.927,0.0
0.262,0.738,0.0
0.065,0.704,0.231
0.214,0.786,0.0
0.113,0.887,0.0
0.07,0.93,0.0
0.138,0.729,0.132
0.046,0.954,0.0
0.0,1.0,0.0
0.097,0.903,0.0
0.156,0.771,0.073
0.0,1.0,0.0
0.0,0.889,0.111
0.088,0.912,0.0
0.0,1.0,0.0
0.0,0.844,0.156
0.244,0.721,0.034
0.214,0.786,0.0
0.077,0.887,0.036
0.298,0.702,0.0
0.0,0.775,0.225
0.306,0.694,0.0
0.145,0.855,0.0
0.109,0.891,0.0
0.0,0.58,0.42
0.058,0.8,0.142
0.0,0.95,0.05
0.046,0.954,0.0
0.0,1.0,0.0
0.089,0.846,0.065
0.11,0.89,0.0
0.263,0.695,0.042
0.26,0.74,0.0
0.196,0.698,0.106
0.065,0.704,0.231
0.156,0.771,0.073
0.0,0.905,0.095
0.17,0.83,0.0
0.0,1.0,0.0
0.565,0.435,0.0
0.127,0.749,0.124
0.078,0.642,0.28
0.091,0.909,0.0
0.076,0.924,0.0
0.046,0.954,0.0
0.0,1.0,0.0
0.0,0.868,0.132
0.0,0.814,0.186
0.0,1.0,0.0
0.0,0.913,0.087
0.0,1.0,0.0
0.072,0.928,0.0
0.046,0.954,0.0
0.0,0.905,0.095
0.062,0.938,0.0
0.181,0.685,0.134
0.0,0.95,0.05
0.056,0.862,0.082
0.12,0.762,0.118
0.239,0.761,0.0
0.241,0.679,0.079
0.163,0.837,0.0
0.241,0.679,0.079
0.0,1.0,0.0
0.0,1.0,0.0
0.122,0.654,0.224
0.07,0.93,0.0
0.0,1.0,0.0
0.049,0.854,0.097
0.192,0.808,0.0
0.0,1.0,0.0
0.065,0.704,0.231
0.0,0.884,0.116
0.11,0.89,0.0
0.07,0.93,0.0
0.0,0.793,0.207
0.0,1.0,0.0
0.0,1.0,0.0
0.156,0.771,0.073
0.062,0.884,0.054
0.134,0.866,0.0
0.156,0.771,0.073
0.192,0.808,0.0
0.167,0.833,0.0
0.167,0.833,0.0
0.108,0.892,0.0
0.058,0.8,0.142
0.23,0.77,0.0
0.025,0.8,0.175
0.046,0.954,0.0
0.0,0.844,0.156
0.041,0.883,0.075
0.0,0.917,0.083
0.0,0.834,0.166
0.0,1.0,0.0
0.0,0.815,0.185
0.158,0.842,0.0
0.097,0.727,0.176
0.0,0.726,0.274
0.127,0.749,0.124
0.0,0.821,0.179
0.0,1.0,0.0
0.108,0.892,0.0
0.089,0.911,0.0
0.114,0.886,0.0
0.0,0.667,0.333
0.0,0.876,0.124
0.0,1.0,0.0
0.109,0.891,0.0
0.253,0.747,0.0
0.046,0.954,0.0
0.0,0.635,0.365
0.169,0.766,0.065
0.0,0.862,0.138
0.163,0.837,0.0
0.065,0.748,0.188
0.082,0.821,0.097
0.054,0.908,0.038
0.0,1.0,0.0
0.565,0.435,0.0
0.103,0.722,0.175
0.184,0.816,0.0
0.17,0.752,0.078
0.0,0.922,0.078
0.0,0.811,0.189
0.098,0.902,0.0
0.192,0.808,0.0
0.176,0.824,0.0
0.054,0.83,0.116
0.369,0.631,0.0
0.281,0.719,0.0
0.0,0.748,0.252
0.0,0.862,0.138
0.0,0.95,0.05
0.0,0.924,0.076
0.0,0.835,0.165
0.045,0.909,0.045
0.214,0.786,0.0
0.097,0.903,0.0
0.0,1.0,0.0
0.114,0.886,0.0
0.093,0.865,0.042
0.0,0.876,0.124
0.194,0.806,0.0
0.134,0.667,0.199
0.241,0.679,0.079
0.046,0.954,0.0
0.0,1.0,0.0
0.0,0.862,0.138
0.0,0.603,0.397
0.07,0.93,0.0
0.041,0.883,0.075
0.0,1.0,0.0
0.0,1.0,0.0
0.315,0.685,0.0
0.141,0.776,0.082
0.0,0.844,0.156
0.0,1.0,0.0
0.0,1.0,0.0
0.127,0.749,0.124
0.112,0.888,0.0
0.0,1.0,0.0
0.22,0.688,0.092
0.396,0.604,0.0
0.101,0.899,0.0
0.0,0.603,0.397
0.163,0.837,0.0
0.163,0.837,0.0
0.046,0.954,0.0
0.072,0.928,0.0
0.07,0.93,0.0
0.0,0.772,0.228
0.091,0.909,0.0
0.0,0.87,0.13
0.178,0.822,0.0
0.0,0.774,0.226
0.0,0.263,0.737
0.065,0.704,0.231
0.148,0.728,0.124
0.0,1.0,0.0
0.198,0.802,0.0
0.062,0.876,0.062
0.369,0.631,0.0
0.054,0.871,0.075
0.0,0.757,0.243
0.0,0.772,0.228
0.0,0.958,0.042
0.11,0.89,0.0
0.085,0.761,0.154
0.118,0.802,0.08
0.0,0.844,0.156
0.0,0.933,0.067
0.0,1.0,0.0
0.179,0.821,0.0
0.095,0.905,0.0
0.07,0.93,0.0
0.17,0.83,0.0
0.259,0.706,0.035
0.081,0.859,0.061
0.241,0.679,0.079
0.236,0.744,0.02
0.0,0.919,0.081
0.11,0.89,0.0
0.122,0.878,0.0
0.114,0.886,0.0
0.065,0.704,0.231
0.127,0.731,0.142
0.0,1.0,0.0
0.0,1.0,0.0
0.11,0.89,0.0
0.0,1.0,0.0
0.13,0.87,0.0
0.241,0.679,0.079
0.0,0.897,0.103
0.0,0.877,0.123
0.112,0.888,0.0
0.054,0.908,0.038
0.173,0.575,0.252
0.241,0.679,0.079
0.085,0.761,0.154
0.0,0.817,0.183
0.0,1.0,0.0
0.0,0.922,0.078
0.046,0.954,0.0
0.192,0.808,0.0
0.066,0.911,0.023
0.114,0.886,0.0
0.046,0.954,0.0
0.076,0.791,0.133
0.07,0.93,0.0
0.0,1.0,0.0
0.065,0.704,0.231
0.118,0.723,0.16
0.0,1.0,0.0
0.167,0.833,0.0
0.156,0.771,0.073
0.0,0.78,0.22
0.065,0.704,0.231
0.22,0.78,0.0
0.171,0.829,0.0
0.0,0.922,0.078
0.0,0.793,0.207
0.215,0.71,0.075
0.0,0.922,0.078
0.098,0.902,0.0
0.212,0.743,0.045
0.0,0.934,0.066
0.0,0.922,0.078
0.048,0.952,0.0
0.143,0.857,0.0
0.046,0.954,0.0
0.0,1.0,0.0
0.07,0.93,0.0
0.188,0.759,0.053
0.0,1.0,0.0
0.08,0.92,0.0
0.162,0.838,0.0
0.098,0.902,0.0
0.046,0.954,0.0
0.0,0.834,0.166
0.178,0.822,0.0
0.07,0.93,0.0
0.0,1.0,0.0
0.096,0.662,0.243
0.241,0.679,0.079
0.113,0.702,0.185
0.12,0.762,0.118
0.156,0.771,0.073
0.0,1.0,0.0
0.112,0.888,0.0
0.0,1.0,0.0
0.0,0.823,0.177
0.125,0.875,0.0
0.109,0.891,0.0
0.0,0.9,0.1
0.046,0.954,0.0
0.046,0.954,0.0
0.11,0.89,0.0
0.065,0.704,0.231
0.109,0.808,0.083
0.11,0.89,0.0
0.245,0.755,0.0
0.046,0.954,0.0
0.134,0.866,0.0
0.062,0.938,0.0
0.187,0.813,0.0
0.0,1.0,0.0
0.118,0.735,0.147
0.128,0.872,0.0
0.156,0.771,0.073
0.07,0.93,0.0
0.163,0.837,0.0
0.241,0.679,0.079
0.158,0.842,0.0
0.08,0.92,0.0
0.097,0.903,0.0
0.108,0.892,0.0
0.173,0.793,0.034
0.07,0.93,0.0
0.18,0.75,0.07
0.0,1.0,0.0
0.295,0.705,0.0
0.0,1.0,0.0
0.046,0.954,0.0
0.369,0.631,0.0
0.108,0.801,0.091
0.0,0.79,0.21
0.24,0.76,0.0
0.068,0.839,0.093
0.0,1.0,0.0
0.041,0.883,0.075
0.156,0.771,0.073
0.101,0.899,0.0
0.231,0.769,0.0
0.046,0.954,0.0
0.0,1.0,0.0
0.118,0.74,0.142
0.182,0.818,0.0
0.0,0.603,0.397
